	0	1	2	3	4
0	1	5	8	10	12
1	1	5	8	10	12
2	4	5	9	11	12
3	4	5	9	11	12
4	4	5	9	11	12
5	4	5	9	11	12
6	4	5	9	11	12
7	4	5	9	11	12
8	4	5	9	11	12
9	4	5	9	11	12
10	1	6	9	10	12
11	1	6	9	10	12
12	2	5	9	10	14
13	2	5	9	10	14
14	4	6	9	11	12
15	4	6	9	11	12
16	4	5	9	11	12
17	4	5	9	11	12
18	4	6	9	11	12
19	4	6	9	11	12
20	2	5	9	10	14
21	2	5	9	10	14
22	1	7	9	11	12
23	1	7	9	11	12
24	2	5	9	11	12
25	2	5	9	11	12
26	4	5	9	11	12
27	4	5	9	11	12
28	4	5	9	11	12
29	4	5	9	11	12
30	4	5	9	11	12
31	4	5	9	11	12
32	4	5	9	11	12
33	4	5	9	11	12
34	4	5	9	11	12
35	4	5	9	11	12
36	2	5	9	11	12
37	2	5	9	11	12
38	4	6	9	11	12
39	4	6	9	11	12
40	1	5	9	10	12
41	1	5	9	10	12
42	1	5	8	10	12
43	1	5	8	10	12
44	1	5	8	10	12
45	1	5	8	10	12
46	4	5	9	11	12
47	4	5	9	11	12
48	4	6	9	11	12
49	4	6	9	11	12
50	1	7	9	11	12
51	1	7	9	11	12
52	4	5	9	11	12
53	4	5	9	11	12
