	0	1	2	3	4
0	2	5	8	10	12
1	2	5	8	10	12
2	1	5	8	10	12
3	1	5	8	10	12
4	1	5	8	10	12
5	1	5	8	10	12
6	2	5	9	11	12
7	2	5	9	11	12
8	1	5	9	11	12
9	1	5	9	11	12
10	2	5	9	11	12
11	2	5	9	11	12
12	1	5	9	11	12
13	1	5	9	11	12
14	2	5	9	10	12
15	2	5	9	10	12
16	1	5	9	10	12
17	1	5	9	10	12
18	1	5	8	10	12
19	1	5	8	10	12
20	1	5	9	10	12
21	1	5	9	10	12
22	2	5	9	10	12
23	2	5	9	10	12
24	1	5	8	10	12
25	1	5	8	10	12
26	1	5	8	10	12
27	1	5	8	10	12
28	1	5	8	11	12
29	1	5	8	11	12
30	1	5	8	11	12
31	1	5	8	11	12
32	1	5	8	11	12
33	1	5	8	11	12
34	1	5	8	11	12
35	1	5	8	11	12
36	1	5	8	11	12
37	1	5	8	11	12
38	1	5	8	10	12
39	1	5	8	10	12
40	1	5	8	10	12
41	1	5	8	10	12
42	4	5	9	11	12
43	4	5	9	11	12
44	4	5	9	11	12
45	4	5	9	11	12
46	4	5	9	11	12
47	4	5	9	11	12
48	4	5	9	11	12
49	4	5	9	11	12
50	4	5	9	11	12
51	4	5	9	11	12
52	1	5	9	11	12
53	1	5	9	11	12
54	2	5	9	10	12
55	2	5	9	10	12
56	1	5	9	11	12
57	1	5	9	11	12
58	1	5	8	11	12
59	1	5	8	11	12
60	4	5	9	11	12
61	4	5	9	11	12
