	0	1	2	3	4
0	1	5	8	10	12
1	1	5	8	10	12
2	4	5	9	11	12
3	4	5	9	11	12
4	4	5	9	11	12
5	4	5	9	11	12
6	4	5	9	11	12
7	4	5	9	11	12
8	4	5	9	11	12
9	4	5	9	11	12
10	4	5	9	11	12
11	4	5	9	11	12
12	1	5	9	10	12
13	1	5	9	10	12
14	2	5	9	10	12
15	2	5	9	10	12
16	1	5	9	10	12
17	1	5	9	10	12
18	4	5	9	11	12
19	4	5	9	11	12
20	4	5	9	11	12
21	4	5	9	11	12
22	4	5	9	11	12
23	4	5	9	11	12
24	4	5	9	11	12
25	4	5	9	11	12
26	4	5	9	11	12
27	4	5	9	11	12
28	1	5	9	10	12
29	1	5	9	10	12
30	2	5	9	10	12
31	2	5	9	10	12
32	1	5	9	10	12
33	1	5	9	10	12
34	1	5	8	11	12
35	1	5	8	11	12
36	1	5	8	11	12
37	1	5	8	11	12
38	1	5	8	11	12
39	1	5	8	11	12
40	1	5	8	11	12
41	1	5	8	11	12
42	1	5	8	10	12
43	1	5	8	10	12
44	1	5	8	10	12
45	1	5	8	10	12
46	1	5	8	10	12
47	1	5	8	10	12
48	1	5	8	10	12
49	1	5	8	10	12
50	4	5	9	11	12
51	4	5	9	11	12
52	1	5	8	11	12
53	1	5	8	11	12
54	4	5	9	11	12
55	4	5	9	11	12
