	0	1	2	3	4
0	1	6	8	10	12
1	1	6	8	10	12
2	2	5	9	10	14
3	2	5	9	10	14
4	1	7	9	10	12
5	1	7	9	10	12
6	3	5	9	10	12
7	3	5	9	10	12
8	1	6	9	10	12
9	1	6	9	10	12
10	2	5	9	10	12
11	2	5	9	10	12
12	1	5	9	10	12
13	1	5	9	10	12
14	1	5	9	10	12
15	1	5	9	10	12
16	4	5	9	11	12
17	4	5	9	11	12
18	4	5	9	11	12
19	4	5	9	11	12
20	4	5	9	11	12
21	4	5	9	11	12
22	4	5	9	11	12
23	4	5	9	11	12
24	4	5	9	11	12
25	4	5	9	11	12
26	1	5	8	10	12
27	1	5	8	10	12
28	1	5	8	10	12
29	1	5	8	10	12
30	1	6	9	10	12
31	1	6	9	10	12
32	4	5	9	11	12
33	4	5	9	11	12
