	0	1	2	3	4
0	1	5	8	10	12
1	1	5	8	10	12
2	1	5	8	10	12
3	1	5	8	10	12
4	1	5	8	10	12
5	1	5	8	10	12
6	4	5	9	11	12
7	4	5	9	11	12
8	4	5	9	11	12
9	4	5	9	11	12
10	4	5	9	11	12
11	4	5	9	11	12
12	4	5	9	11	12
13	4	5	9	11	12
14	4	5	9	11	12
15	4	5	9	11	12
16	1	5	9	10	12
17	1	5	9	10	12
18	4	5	9	11	12
19	4	5	9	11	12
20	1	5	8	11	12
21	1	5	8	11	12
22	1	5	8	11	12
23	1	5	8	11	12
24	1	5	8	11	12
25	1	5	8	11	12
26	1	5	9	11	12
27	1	5	9	11	12
28	2	5	9	10	12
29	2	5	9	10	12
30	1	5	9	11	12
31	1	5	9	11	12
32	4	5	9	11	12
33	4	5	9	11	12
34	4	5	9	11	12
35	4	5	9	11	12
36	4	5	9	11	12
37	4	5	9	11	12
38	4	5	9	11	12
39	4	5	9	11	12
40	4	5	9	11	12
41	4	5	9	11	12
42	1	5	8	10	12
43	1	5	8	10	12
44	4	5	9	11	12
45	4	5	9	11	12
46	1	5	8	10	12
47	1	5	8	10	12
48	2	5	8	10	12
49	2	5	8	10	12
50	1	5	8	10	12
51	1	5	8	10	12
52	1	5	8	10	12
53	1	5	8	10	12
54	4	5	9	11	12
55	4	5	9	11	12
56	4	5	9	11	12
57	4	5	9	11	12
58	4	5	9	11	12
59	4	5	9	11	12
60	4	5	9	11	12
61	4	5	9	11	12
