	0	1	2	3	4
0	4	5	9	11	12
1	4	5	9	11	12
2	4	5	9	11	12
3	4	5	9	11	12
4	4	5	9	11	12
5	4	5	9	11	12
6	4	5	9	11	12
7	4	5	9	11	12
8	4	5	9	11	12
9	4	5	9	11	12
10	4	5	9	11	12
11	4	5	9	11	12
12	4	5	9	11	12
13	4	5	9	11	12
14	4	5	9	11	12
15	4	5	9	11	12
16	4	5	9	11	12
17	4	5	9	11	12
18	1	6	9	10	12
19	1	6	9	10	12
20	2	5	9	10	14
21	2	5	9	10	14
22	1	6	9	11	12
23	1	6	9	11	12
24	2	5	9	10	12
25	2	5	9	10	12
26	1	5	9	11	12
27	1	5	9	11	12
28	1	5	9	11	12
29	1	5	9	11	12
30	2	5	9	10	12
31	2	5	9	10	12
32	1	5	8	11	12
33	1	5	8	11	12
34	4	5	9	11	12
35	4	5	9	11	12
36	4	5	9	11	12
37	4	5	9	11	12
38	1	6	8	11	12
39	1	6	8	11	12
