	0	1	2	3	4
0	1	5	8	11	12
1	1	5	8	11	12
2	1	5	8	11	12
3	1	5	8	11	12
4	1	5	8	11	12
5	1	5	8	11	12
6	1	5	8	11	12
7	1	5	8	11	12
8	1	5	8	11	12
9	1	5	8	11	12
10	1	5	8	10	12
11	1	5	8	10	12
12	1	5	9	10	12
13	1	5	9	10	12
14	2	5	9	10	12
15	2	5	9	10	12
16	1	5	9	10	12
17	1	5	9	10	12
18	4	5	9	11	12
19	4	5	9	11	12
20	4	5	9	11	12
21	4	5	9	11	12
22	4	5	9	11	12
23	4	5	9	11	12
24	4	5	9	11	12
25	4	5	9	11	12
26	1	5	9	10	12
27	1	5	9	10	12
28	4	5	9	11	12
29	4	5	9	11	12
30	4	5	9	11	12
31	4	5	9	11	12
32	4	5	9	11	12
33	4	5	9	11	12
34	4	5	9	11	12
35	4	5	9	11	12
36	4	5	9	11	12
37	4	5	9	11	12
38	1	5	8	10	12
39	1	5	8	10	12
40	1	5	9	10	12
41	1	5	9	10	12
42	1	5	9	10	12
43	1	5	9	10	12
44	2	5	9	10	12
45	2	5	9	10	12
46	1	5	9	10	12
47	1	5	9	10	12
48	1	5	8	11	12
49	1	5	8	11	12
50	4	5	9	11	12
51	4	5	9	11	12
52	4	5	9	11	12
53	4	5	9	11	12
