	0	1	2	3	4
0	1	5	8	10	12
1	1	5	8	10	12
2	1	5	8	10	12
3	1	5	8	10	12
4	4	5	9	11	12
5	4	5	9	11	12
6	4	5	9	11	12
7	4	5	9	11	12
8	4	5	9	11	12
9	4	5	9	11	12
10	4	5	9	11	12
11	4	5	9	11	12
12	4	5	9	11	12
13	4	5	9	11	12
14	1	5	9	10	12
15	1	5	9	10	12
16	1	5	8	11	12
17	1	5	8	11	12
18	1	5	8	11	12
19	1	5	8	11	12
20	1	5	8	11	12
21	1	5	8	11	12
22	1	5	8	11	12
23	1	5	8	11	12
24	1	5	8	11	12
25	1	5	8	11	12
26	1	5	8	10	12
27	1	5	8	10	12
28	1	5	8	11	12
29	1	5	8	11	12
30	1	5	8	11	12
31	1	5	8	11	12
32	1	5	8	11	12
33	1	5	8	11	12
34	1	5	8	11	12
35	1	5	8	11	12
36	1	5	8	11	12
37	1	5	8	11	12
38	1	5	8	10	12
39	1	5	8	10	12
40	2	5	8	10	12
41	2	5	8	10	12
42	2	5	8	10	12
43	2	5	8	10	12
44	1	5	8	10	12
45	1	5	8	10	12
46	1	5	9	10	12
47	1	5	9	10	12
48	1	5	8	10	12
49	1	5	8	10	12
50	1	5	9	10	12
51	1	5	9	10	12
52	1	5	9	10	12
53	1	5	9	10	12
54	4	5	9	11	12
55	4	5	9	11	12
56	4	5	9	11	12
57	4	5	9	11	12
58	4	5	9	11	12
59	4	5	9	11	12
60	4	5	9	11	12
61	4	5	9	11	12
62	4	5	9	11	12
63	4	5	9	11	12
64	1	5	9	10	12
65	1	5	9	10	12
66	4	5	9	11	12
67	4	5	9	11	12
68	4	5	9	11	12
69	4	5	9	11	12
70	4	5	9	11	12
71	4	5	9	11	12
72	4	5	9	11	12
73	4	5	9	11	12
74	4	5	9	11	12
75	4	5	9	11	12
76	4	5	9	11	12
77	4	5	9	11	12
78	4	5	9	11	12
79	4	5	9	11	12
80	4	5	9	11	12
81	4	5	9	11	12
82	1	5	9	10	12
83	1	5	9	10	12
84	4	5	9	11	12
85	4	5	9	11	12
86	4	5	9	11	12
87	4	5	9	11	12
88	4	5	9	11	12
89	4	5	9	11	12
90	4	5	9	11	12
91	4	5	9	11	12
92	4	5	9	11	12
93	4	5	9	11	12
94	1	5	9	10	12
95	1	5	9	10	12
96	1	5	8	10	12
97	1	5	8	10	12
98	1	5	9	10	12
99	1	5	9	10	12
100	2	5	9	10	12
101	2	5	9	10	12
102	1	5	9	10	12
103	1	5	9	10	12
104	1	5	9	10	12
105	1	5	9	10	12
106	4	5	9	11	12
107	4	5	9	11	12
108	4	5	9	11	12
109	4	5	9	11	12
110	4	5	9	11	12
111	4	5	9	11	12
112	4	5	9	11	12
113	4	5	9	11	12
114	4	5	9	11	12
115	4	5	9	11	12
116	1	5	8	10	12
117	1	5	8	10	12
118	1	5	8	10	12
119	1	5	8	10	12
120	4	5	9	11	12
121	4	5	9	11	12
122	1	5	8	11	12
123	1	5	8	11	12
124	1	5	8	11	12
125	1	5	8	11	12
126	4	5	9	11	12
127	4	5	9	11	12
128	4	5	9	11	12
129	4	5	9	11	12
130	4	5	9	11	12
131	4	5	9	11	12
132	4	5	9	11	12
133	4	5	9	11	12
134	4	5	9	11	12
135	4	5	9	11	12
