	0	1	2	3	4
0	4	5	9	11	12
1	4	5	9	11	12
2	4	5	9	11	12
3	4	5	9	11	12
4	4	5	9	11	12
5	4	5	9	11	12
6	1	5	9	11	12
7	1	5	9	11	12
8	2	5	9	10	12
9	2	5	9	10	12
10	1	6	9	11	12
11	1	6	9	11	12
12	2	5	9	10	15
13	2	5	9	10	15
14	1	6	9	10	12
15	1	6	9	10	12
16	1	5	9	10	12
17	1	5	9	10	12
18	4	5	9	11	12
19	4	5	9	11	12
20	4	5	9	11	12
21	4	5	9	11	12
22	4	5	9	11	12
23	4	5	9	11	12
24	4	5	9	11	12
25	4	5	9	11	12
26	4	5	9	11	12
27	4	5	9	11	12
28	4	5	9	11	12
29	4	5	9	11	12
30	4	5	9	11	12
31	4	5	9	11	12
32	4	5	9	11	12
33	4	5	9	11	12
34	4	5	9	11	12
35	4	5	9	11	12
36	1	5	8	10	12
37	1	5	8	10	12
38	2	5	8	10	12
39	2	5	8	10	12
40	2	5	8	10	12
41	2	5	8	10	12
42	1	5	8	10	12
43	1	5	8	10	12
44	1	6	9	11	12
45	1	6	9	11	12
46	2	5	9	11	12
47	2	5	9	11	12
48	1	5	8	10	12
49	1	5	8	10	12
50	2	5	8	10	12
51	2	5	8	10	12
52	2	5	8	10	12
53	2	5	8	10	12
54	1	5	8	10	12
55	1	5	8	10	12
56	4	5	9	11	12
57	4	5	9	11	12
58	4	5	9	11	12
59	4	5	9	11	12
60	4	5	9	11	12
61	4	5	9	11	12
62	1	5	9	11	12
63	1	5	9	11	12
64	4	5	9	11	12
65	4	5	9	11	12
66	4	5	9	11	12
67	4	5	9	11	12
