	0	1	2	3	4
0	1	5	8	10	12
1	1	5	8	10	12
2	1	5	8	11	12
3	1	5	8	11	12
4	1	5	8	11	12
5	1	5	8	11	12
6	1	5	8	11	12
7	1	5	8	11	12
8	2	5	9	11	12
9	2	5	9	11	12
10	1	5	8	11	12
11	1	5	8	11	12
12	1	5	8	10	12
13	1	5	8	10	12
14	1	5	8	10	12
15	1	5	8	10	12
16	1	5	8	11	12
17	1	5	8	11	12
18	1	5	8	11	12
19	1	5	8	11	12
20	1	5	8	11	12
21	1	5	8	11	12
22	1	5	8	11	12
23	1	5	8	11	12
24	1	5	8	11	12
25	1	5	8	11	12
26	1	5	9	10	12
27	1	5	9	10	12
28	4	5	9	11	12
29	4	5	9	11	12
30	4	5	9	11	12
31	4	5	9	11	12
32	4	5	9	11	12
33	4	5	9	11	12
34	4	5	9	11	12
35	4	5	9	11	12
36	4	5	9	11	12
37	4	5	9	11	12
38	1	5	9	10	12
39	1	5	9	10	12
40	2	5	9	10	12
41	2	5	9	10	12
42	1	5	9	10	12
43	1	5	9	10	12
44	1	5	8	10	12
45	1	5	8	10	12
46	2	5	8	10	12
47	2	5	8	10	12
48	2	5	8	10	12
49	2	5	8	10	12
50	1	5	8	10	12
51	1	5	8	10	12
52	4	5	9	11	12
53	4	5	9	11	12
54	4	5	9	11	12
55	4	5	9	11	12
56	4	5	9	11	12
57	4	5	9	11	12
58	4	5	9	11	12
59	4	5	9	11	12
60	4	5	9	11	12
61	4	5	9	11	12
62	1	5	9	10	12
63	1	5	9	10	12
64	1	5	8	10	12
65	1	5	8	10	12
66	1	5	8	10	12
67	1	5	8	10	12
68	1	5	8	10	12
69	1	5	8	10	12
70	1	5	8	10	12
71	1	5	8	10	12
72	1	5	8	11	12
73	1	5	8	11	12
74	1	5	8	11	12
75	1	5	8	11	12
76	1	5	8	11	12
77	1	5	8	11	12
78	1	5	8	11	12
79	1	5	8	11	12
80	1	5	8	11	12
81	1	5	8	11	12
82	1	5	8	10	12
83	1	5	8	10	12
84	1	5	8	10	12
85	1	5	8	10	12
86	1	5	8	10	12
87	1	5	8	10	12
88	4	5	9	11	12
89	4	5	9	11	12
90	4	5	9	11	12
91	4	5	9	11	12
92	4	5	9	11	12
93	4	5	9	11	12
94	4	5	9	11	12
95	4	5	9	11	12
96	4	5	9	11	12
97	4	5	9	11	12
98	1	5	8	10	12
99	1	5	8	10	12
100	2	5	8	10	12
101	2	5	8	10	12
102	2	5	8	10	12
103	2	5	8	10	12
104	1	5	8	10	12
105	1	5	8	10	12
106	1	5	8	10	12
107	1	5	8	10	12
108	1	5	8	10	12
109	1	5	8	10	12
110	1	5	8	10	12
111	1	5	8	10	12
112	1	5	9	10	12
113	1	5	9	10	12
114	4	5	9	11	12
115	4	5	9	11	12
116	4	5	9	11	12
117	4	5	9	11	12
118	4	5	9	11	12
119	4	5	9	11	12
120	4	5	9	11	12
121	4	5	9	11	12
122	4	5	9	11	12
123	4	5	9	11	12
124	1	5	8	10	12
125	1	5	8	10	12
126	1	5	8	10	12
127	1	5	8	10	12
128	1	5	8	11	12
129	1	5	8	11	12
130	1	5	8	11	12
131	1	5	8	11	12
132	4	5	9	11	12
133	4	5	9	11	12
134	4	5	9	11	12
135	4	5	9	11	12
136	1	5	8	11	12
137	1	5	8	11	12
138	4	5	9	11	12
139	4	5	9	11	12
140	4	5	9	11	12
141	4	5	9	11	12
