	0	1	2	3	4
0	4	5	9	11	12
1	4	5	9	11	12
2	4	5	9	11	12
3	4	5	9	11	12
4	4	5	9	11	12
5	4	5	9	11	12
6	4	5	9	11	12
7	4	5	9	11	12
8	4	5	9	11	12
9	4	5	9	11	12
10	1	5	9	10	12
11	1	5	9	10	12
12	4	5	9	11	12
13	4	5	9	11	12
14	4	5	9	11	12
15	4	5	9	11	12
16	4	5	9	11	12
17	4	5	9	11	12
18	4	5	9	11	12
19	4	5	9	11	12
20	1	5	9	10	12
21	1	5	9	10	12
22	1	5	9	10	12
23	1	5	9	10	12
24	2	5	9	10	12
25	2	5	9	10	12
26	1	5	9	10	12
27	1	5	9	10	12
28	1	5	9	10	12
29	1	5	9	10	12
30	2	5	9	10	12
31	2	5	9	10	12
32	1	5	9	10	12
33	1	5	9	10	12
34	1	5	8	10	12
35	1	5	8	10	12
36	4	5	9	11	12
37	4	5	9	11	12
38	4	5	9	11	12
39	4	5	9	11	12
