	0	1	2	3	4
0	1	6	8	11	12
1	1	6	8	11	12
2	2	5	9	10	15
3	2	5	9	10	15
4	1	7	9	10	12
5	1	7	9	10	12
6	4	5	9	11	12
7	4	5	9	11	12
8	4	5	9	11	12
9	4	5	9	11	12
10	4	5	9	11	12
11	4	5	9	11	12
12	4	5	9	11	12
13	4	5	9	11	12
14	1	6	9	11	12
15	1	6	9	11	12
16	2	5	9	10	12
17	2	5	9	10	12
18	1	6	9	11	12
19	1	6	9	11	12
20	2	5	9	10	15
21	2	5	9	10	15
22	1	6	9	10	12
23	1	6	9	10	12
24	4	5	9	11	12
25	4	5	9	11	12
26	4	5	9	11	12
27	4	5	9	11	12
28	4	5	9	11	12
29	4	5	9	11	12
30	4	5	9	11	12
31	4	5	9	11	12
32	1	6	8	11	12
33	1	6	8	11	12
34	1	5	8	11	12
35	1	5	8	11	12
36	4	5	9	11	12
37	4	5	9	11	12
38	4	5	9	11	12
39	4	5	9	11	12
