	0	1	2	3	4
0	1	5	8	11	12
1	1	5	8	11	12
2	1	5	8	11	12
3	1	5	8	11	12
4	1	5	8	11	12
5	1	5	8	11	12
6	1	5	8	11	12
7	1	5	8	11	12
8	1	5	8	10	12
9	1	5	8	10	12
10	1	5	8	11	12
11	1	5	8	11	12
12	1	5	8	11	12
13	1	5	8	11	12
14	1	5	8	11	12
15	1	5	8	11	12
16	1	5	8	11	12
17	1	5	8	11	12
18	1	5	8	11	12
19	1	5	8	11	12
20	1	5	9	10	12
21	1	5	9	10	12
22	2	5	9	10	12
23	2	5	9	10	12
24	1	5	9	10	12
25	1	5	9	10	12
26	4	5	9	11	12
27	4	5	9	11	12
28	4	5	9	11	12
29	4	5	9	11	12
30	4	5	9	11	12
31	4	5	9	11	12
32	4	5	9	11	12
33	4	5	9	11	12
34	4	5	9	11	12
35	4	5	9	11	12
36	1	5	9	10	12
37	1	5	9	10	12
38	2	5	9	10	12
39	2	5	9	10	12
40	1	5	9	10	12
41	1	5	9	10	12
42	1	5	8	11	12
43	1	5	8	11	12
44	1	5	8	11	12
45	1	5	8	11	12
46	1	5	8	11	12
47	1	5	8	11	12
48	1	5	8	11	12
49	1	5	8	11	12
50	1	5	8	11	12
51	1	5	8	11	12
52	1	5	8	10	12
53	1	5	8	10	12
54	1	5	8	11	12
55	1	5	8	11	12
56	1	5	8	11	12
57	1	5	8	11	12
58	1	5	8	11	12
59	1	5	8	11	12
60	1	5	8	11	12
61	1	5	8	11	12
62	1	5	9	10	12
63	1	5	9	10	12
64	1	5	9	10	12
65	1	5	9	10	12
66	4	5	9	11	12
67	4	5	9	11	12
68	4	5	9	11	12
69	4	5	9	11	12
70	4	5	9	11	12
71	4	5	9	11	12
72	4	5	9	11	12
73	4	5	9	11	12
74	4	5	9	11	12
75	4	5	9	11	12
76	1	5	8	11	12
77	1	5	8	11	12
78	1	5	8	11	12
79	1	5	8	11	12
80	4	5	9	11	12
81	4	5	9	11	12
82	1	5	8	11	12
83	1	5	8	11	12
84	1	5	8	11	12
85	1	5	8	11	12
86	4	5	9	11	12
87	4	5	9	11	12
