	0	1	2	3	4
0	1	5	8	10	12
1	1	5	8	10	12
2	1	5	8	10	12
3	1	5	8	10	12
4	1	5	8	10	12
5	1	5	8	10	12
6	1	5	9	11	12
7	1	5	9	11	12
8	2	5	9	10	12
9	2	5	9	10	12
10	1	5	8	11	12
11	1	5	8	11	12
12	1	5	8	11	12
13	1	5	8	11	12
14	1	5	8	11	12
15	1	5	8	11	12
16	1	5	9	11	12
17	1	5	9	11	12
18	4	5	9	11	12
19	4	5	9	11	12
20	4	5	9	11	12
21	4	5	9	11	12
22	4	5	9	11	12
23	4	5	9	11	12
24	4	5	9	11	12
25	4	5	9	11	12
26	4	5	9	11	12
27	4	5	9	11	12
28	1	5	9	10	12
29	1	5	9	10	12
30	1	5	9	10	12
31	1	5	9	10	12
32	4	5	9	11	12
33	4	5	9	11	12
34	4	5	9	11	12
35	4	5	9	11	12
36	4	5	9	11	12
37	4	5	9	11	12
38	4	5	9	11	12
39	4	5	9	11	12
40	4	5	9	11	12
41	4	5	9	11	12
42	1	5	9	10	12
43	1	5	9	10	12
44	2	5	9	10	12
45	2	5	9	10	12
46	1	5	9	10	12
47	1	5	9	10	12
48	1	5	8	10	12
49	1	5	8	10	12
50	1	5	8	11	12
51	1	5	8	11	12
52	1	5	8	11	12
53	1	5	8	11	12
54	1	5	8	11	12
55	1	5	8	11	12
56	1	5	8	11	12
57	1	5	8	11	12
58	1	5	8	11	12
59	1	5	8	11	12
60	1	5	8	10	12
61	1	5	8	10	12
62	1	5	9	10	12
63	1	5	9	10	12
64	1	5	8	10	12
65	1	5	8	10	12
66	1	5	8	10	12
67	1	5	8	10	12
68	1	5	8	11	12
69	1	5	8	11	12
70	1	5	8	11	12
71	1	5	8	11	12
72	1	5	8	11	12
73	1	5	8	11	12
74	1	5	8	11	12
75	1	5	8	11	12
76	1	5	9	11	12
77	1	5	9	11	12
78	4	5	9	11	12
79	4	5	9	11	12
80	4	5	9	11	12
81	4	5	9	11	12
82	1	5	8	11	12
83	1	5	8	11	12
84	1	5	8	11	12
85	1	5	8	11	12
